问题,指标,数值
问题一,n_service_areas,15
问题一,n_boxes,80
问题一,n_uav_types,3
问题一,chosen_strategy,single_C
问题一,chosen_n_sorties,18
问题一,chosen_total_energy_kwh,75.070591
问题一,chosen_serial_total_time_s,33729.471
问题一,lower_bound_total_sorties,18
问题一,n_pareto,2
问题一,n_strategies,8
问题一,rho_sweep_points,21
问题一,runtime_sec,0.76
问题二,n_sorties,25
问题二,n_boxes,80
问题二,total_energy_kwh,77.301634
问题二,makespan_s,10855.1
问题二,makespan_h,3.015
问题二,violations_first_batch,0
问题二,violations_expected,0
问题二,on_time_rate,1.0
问题二,max_lateness_s,0.0
问题二,objective_penalty,79.305
问题二,runtime_sec,2.51
问题二,iterations,2
问题二,feasible_by_verifier,True
问题二,n_verifier_violations,0
问题三,n_transport_sorties,25
问题三,n_relay_sorties,20
问题三,n_sorties_need_relay,20
问题三,n_sorties_covered,20
问题三,coverage_rate,1.0
问题三,transport_energy_kwh,77.301634
问题三,relay_energy_kwh,4.833482
问题三,total_energy_kwh,82.135116
问题三,joint_makespan_s,11323.3
问题三,joint_makespan_h,3.145
问题三,mean_direct_outage_fraction,0.2838
问题三,n_hover_candidates,1885
问题三,sample_dt_s,2.0
问题三,hover_step_m,400.0
问题三,runtime_sec,394.32
问题三,feasible_by_verifier,True
问题三,n_verifier_violations,0
问题四,n_services,15
问题四,n_transport_sorties_q3,25
问题四,n_multi_stop_sorties,12
问题四,n_atomic_units,3
问题四,n_bridge_sorties,6
问题四,partition_feasible_k2,True
问题四,partition_feasible_k3,True
问题四,k2_edits_required,0
问题四,k3_edits_required,0
问题四,runtime_sec,0.45
